Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/animal/aves-barn-swallow-non-physical.edges	18	122	[1,52]	16|0	0|0	10	3	2	12	2	2	2	2	1	2	9	4	
d/animal/insecta-ant-colony5-day28.edges	152	2956	[1,167]	84|0	0|0	30	10	7	70	7	4	7	4	7	4	35	20	
d/animal/insecta-ant-colony3-day11.edges	161	8451	[1,125]	144|0	0|0	57	16	13	115	13	7	13	7	12	7	71	37	
d/animal/aves-geese-female-foraging.edges	21	190	[0,93]	19|0	0|0	11	5	5	0	5	2	5	2	5	2	13	6	
d/animal/aves-wildbird-network-2.edges	153	1483	[0,0]	62|0	3|4	62	0	0	34	34	20	34	20	34	20	34	20	
d/animal/insecta-ant-colony2-day24.edges	132	2313	[1,166]	73|0	0|0	28	8	7	59	7	4	6	4	6	4	31	18	
d/animal/insecta-ant-colony1-day13.edges	113	3252	[1,187]	91|0	0|0	37	12	10	73	10	5	10	5	8	5	47	24	
d/animal/insecta-ant-colony4-day12.edges	102	2067	[1,79]	70|0	0|1	29	10	8	64	8	4	6	4	6	4	34	20	
d/animal/insecta-ant-colony1-day30.edges	113	2220	[1,98]	76|0	0|0	33	10	8	59	8	4	8	4	7	4	33	20	
d/animal/insecta-ant-colony2-day39.edges	130	879	[1,80]	47|0	0|0	20	8	6	35	6	3	6	3	4	3	21	11	
d/animal/insecta-ant-trophallaxis-colony2-day3.edges	34	45	[6,442]	6|0	5|5	2	1	1	3	1	0	1	0	1	0	1	1	
d/animal/insecta-ant-colony4-day04.edges	103	3754	[1,88]	97|0	0|0	38	12	11	84	9	5	9	5	9	5	50	28	
d/animal/insecta-ant-colony5-day15.edges	152	5990	[1,228]	129|0	0|0	44	16	10	96	10	5	9	5	9	5	50	28	
d/animal/insecta-ant-colony3-day04.edges	161	9092	[1,95]	148|0	0|0	68	20	16	138	14	8	14	8	14	8	80	44	
d/animal/insecta-ant-colony6-day28.edges	165	4784	[1,142]	106|0	0|0	37	12	9	93	9	5	8	5	8	5	44	26	
d/animal/insecta-ant-colony6-day16.edges	165	6611	[1,166]	122|0	0|0	54	14	10	105	10	5	10	5	10	5	48	26	
d/animal/insecta-ant-colony6-day03.edges	165	10090	[1,108]	158|0	0|0	47	14	11	136	11	5	11	5	11	5	58	32	
d/animal/insecta-ant-colony2-day18.edges	132	3825	[1,184]	99|0	0|1	40	12	9	77	9	5	9	5	9	5	44	23	
d/animal/insecta-ant-colony4.edges	103	5091	[1,133]	101|0	0|0	69	77	76	97	99	85	96	53	96	52	97	52	
d/animal/insecta-ant-colony4-day03.edges	103	4055	[1,63]	99|0	0|0	46	14	12	88	12	5	9	5	9	5	56	30	
d/animal/insecta-ant-trophallaxis-colony1-day4.edges	41	51	[8,512]	8|0	8|8	2	1	1	4	1	0	1	0	1	0	1	1	
d/animal/insecta-ant-colony1-day19.edges	113	3196	[1,161]	95|0	0|0	35	13	11	74	11	4	11	4	11	4	43	23	
d/animal/insecta-ant-colony3-day25.edges	161	4440	[1,204]	106|0	0|1	42	14	11	85	10	5	10	5	10	5	50	26	
d/animal/insecta-ant-colony6-day25.edges	165	4658	[1,144]	107|0	0|0	41	12	10	92	9	5	9	5	9	5	45	25	
d/animal/insecta-ant-colony6-day14.edges	165	7037	[1,140]	132|0	0|0	42	12	10	112	10	5	10	5	10	5	54	28	
d/animal/insecta-ant-colony6-day21.edges	165	7121	[1,179]	133|0	0|0	43	12	10	114	10	5	10	5	10	5	52	30	
d/animal/insecta-ant-colony1-day33.edges	113	1082	[1,76]	49|0	1|0	26	8	6	42	6	4	6	4	5	4	26	15	
d/animal/insecta-ant-colony4-day24.edges	102	1167	[1,76]	51|0	0|0	20	6	5	45	5	3	4	3	4	3	22	13	
d/animal/insecta-ant-trophallaxis-colony1.edges	42	256	[1,940]	25|0	0|1	11	4	4	12	4	2	4	2	4	2	9	6	
d/animal/insecta-ant-colony3-day36.edges	161	3028	[1,74]	86|0	0|0	31	9	7	67	7	4	7	4	7	4	33	20	
d/animal/insecta-ant-colony6-day10.edges	165	9354	[1,138]	151|0	0|0	46	11	9	126	9	5	9	5	9	5	51	27	
d/animal/aves-wildbird-network-4.edges	182	2009	[0,0]	71|0	1|5	71	0	0	45	45	27	45	27	45	27	45	27	
d/animal/insecta-ant-colony5-day20.edges	152	5907	[1,207]	124|0	0|0	43	13	11	99	11	5	11	5	11	5	47	29	
d/animal/insecta-ant-colony1-day04.edges	114	4094	[1,113]	101|0	0|0	43	13	9	80	9	4	9	4	7	4	48	25	
d/animal/reptilia-tortoise-network-pv.edges	36	66	[2005,2013]	12|0	8|8	8	5	5	5	2	4	2	4	2	4	5	4	
