Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-primate-association-2.edges	15	10	[0,2]	4|0	0|0	4	2	2	0	2	2	0	2	0	2	0	2	
d/mammalia/mammalia-baboon-grooming-group05.edges	5	5	[1,7]	3|0	0|2	2	0	0	2	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-baboon-grooming-group11.edges	15	17	[1,3]	5|0	2|4	4	1	1	2	1	1	1	1	1	1	2	2	
d/mammalia/mammalia-macaque-dominance.edges	63	1167	[1,9]	55|0	0|0	38	16	14	41	14	8	14	8	14	8	40	24	
d/mammalia/mammalia-raccoon-proximity-31.edges	25	23	[6,510556]	9|0	2|1	1	0	0	4	0	0	0	0	0	0	0	0	
d/mammalia/mammalia-raccoon-proximity-10.edges	25	50	[2,19420]	9|0	0|2	2	0	0	6	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-primate-association-13.edges	26	181	[0,7]	19|0	0|0	17	10	10	14	10	5	7	5	7	5	14	9	
d/mammalia/mammalia-raccoon-proximity-9.edges	25	60	[3,221146]	12|0	1|3	2	0	0	7	0	0	0	0	0	0	1	1	
d/mammalia/mammalia-voles-plj-trapping-55.edges	1054	2	[1,1]	2|0	2|1	2	0	0	1	1	0	1	0	1	0	1	0	
d/mammalia/mammalia-voles-rob-trapping-53.edges	1257	26	[1,4]	3|0	24|8	3	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-voles-kcs-trapping-31.edges	741	20	[1,9]	4|0	9|9	3	1	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-voles-kcs-trapping-52.edges	1061	13	[1,4]	2|0	14|6	2	1	1	1	1	0	1	0	1	0	1	0	
